accession,sugar,rep,time,RPKM
CA_C0001,glu,1,A,375
CA_C0002,glu,1,A,172
CA_C0003,glu,1,A,536
CA_C0004,glu,1,A,202
CA_C0005,glu,1,A,298
CA_C0006,glu,1,A,207
CA_C0007,glu,1,A,708
CA_C0008,glu,1,A,6
CA_C0009,glu,1,A,233
CA_C0010,glu,1,A,101
CA_C0011,glu,1,A,28
CA_C0012,glu,1,A,47
CA_C0013,glu,1,A,76
CA_C0014,glu,1,A,18
CA_C0015,glu,1,A,28
CA_C0016,glu,1,A,10
CA_C0017,glu,1,A,21
CA_C0018,glu,1,A,13
CA_C0019,glu,1,A,41
CA_C0020,glu,1,A,1
CA_C0021,glu,1,A,492
CA_C0022,glu,1,A,65
CA_C0023,glu,1,A,15
CA_C0024,glu,1,A,65
CA_C0025,glu,1,A,189
CA_C0026,glu,1,A,141
CA_C0027,glu,1,A,690
CA_C0028,glu,1,A,665
CA_C0029,glu,1,A,95
CA_C0030,glu,1,A,74
CA_C0031,glu,1,A,123
CA_C0032,glu,1,A,747
CA_C0033,glu,1,A,70
CA_C0034,glu,1,A,364
CA_C0035,glu,1,A,64
CA_C0036,glu,1,A,12
CA_C0037,glu,1,A,19
CA_C0038,glu,1,A,40
CA_C0039,glu,1,A,38
CA_C0040,glu,1,A,3298
CA_C0041,glu,1,A,39
CA_C0042,glu,1,A,16
CA_C0043,glu,1,A,24
CA_C0044,glu,1,A,4
CA_C0045,glu,1,A,22
CA_C0046,glu,1,A,20
CA_C0047,glu,1,A,30
CA_C0048,glu,1,A,29
CA_C0049,glu,1,A,106
CA_C0050,glu,1,A,49
CA_C0051,glu,1,A,65
CA_C0052,glu,1,A,61
CA_C0053,glu,1,A,72
CA_C0055,glu,1,A,24
CA_C0056,glu,1,A,963
CA_C0057,glu,1,A,313
CA_C0058,glu,1,A,228
CA_C0059,glu,1,A,597
CA_C0060,glu,1,A,548
CA_C0061,glu,1,A,211
CA_C0062,glu,1,A,317
CA_C0063,glu,1,A,184
CA_C0064,glu,1,A,181
CA_C0065,glu,1,A,287
CA_C0066,glu,1,A,125
CA_C0067,glu,1,A,44
CA_C0068,glu,1,A,64
CA_C0069,glu,1,A,193
CA_C0070,glu,1,A,218
CA_C0071,glu,1,A,48
CA_C0072,glu,1,A,34
CA_C0073,glu,1,A,57
CA_C0075,glu,1,A,84
CA_C0076,glu,1,A,299
CA_C0077,glu,1,A,91
CA_C0078,glu,1,A,420
CA_C0079,glu,1,A,9033
CA_C0080,glu,1,A,38
CA_C0081,glu,1,A,37
CA_C0082,glu,1,A,114
CA_C0083,glu,1,A,359
CA_C0084,glu,1,A,273
CA_C0085,glu,1,A,38
CA_C0086,glu,1,A,36
CA_C0087,glu,1,A,100
CA_C0088,glu,1,A,119
CA_C0089,glu,1,A,44
CA_C0090,glu,1,A,179
CA_C0091,glu,1,A,357
CA_C0092,glu,1,A,32
CA_C0093,glu,1,A,31
CA_C0094,glu,1,A,297
CA_C0095,glu,1,A,85
CA_C0096,glu,1,A,28
CA_C0097,glu,1,A,56
CA_C0098,glu,1,A,75
CA_C0099,glu,1,A,127
CA_C0100,glu,1,A,441
CA_C0101,glu,1,A,9
CA_C0102,glu,1,A,160
CA_C0103,glu,1,A,95
CA_C0104,glu,1,A,46
CA_C0105,glu,1,A,50
CA_C0106,glu,1,A,64
CA_C0107,glu,1,A,124
CA_C0108,glu,1,A,117
CA_C0109,glu,1,A,118
CA_C0110,glu,1,A,307
CA_C0111,glu,1,A,170
CA_C0112,glu,1,A,1006
CA_C0113,glu,1,A,133
CA_C0114,glu,1,A,150
CA_C0115,glu,1,A,608
CA_C0116,glu,1,A,659
CA_C0117,glu,1,A,25
CA_C0118,glu,1,A,2
CA_C0119,glu,1,A,3
CA_C0120,glu,1,A,3
CA_C0121,glu,1,A,9
CA_C0122,glu,1,A,813
CA_C0123,glu,1,A,91
CA_C0124,glu,1,A,10
CA_C0125,glu,1,A,84
CA_C0126,glu,1,A,1751
CA_C0127,glu,1,A,1476
CA_C0128,glu,1,A,718
CA_C0129,glu,1,A,237
CA_C0130,glu,1,A,9
CA_C0132,glu,1,A,4
CA_C0133,glu,1,A,6
CA_C0134,glu,1,A,9
CA_C0135,glu,1,A,3
CA_C0138,glu,1,A,179
CA_C0139,glu,1,A,45
CA_C0140,glu,1,A,59
CA_C0141,glu,1,A,231
CA_C0142,glu,1,A,1
CA_C0143,glu,1,A,3
CA_C0144,glu,1,A,7
CA_C0145,glu,1,A,188
CA_C0146,glu,1,A,502
CA_C0147,glu,1,A,1026
CA_C0148,glu,1,A,193
CA_C0149,glu,1,A,242
CA_C0150,glu,1,A,121
CA_C0151,glu,1,A,34
CA_C0152,glu,1,A,57
CA_C0153,glu,1,A,363
CA_C0154,glu,1,A,4
CA_C0155,glu,1,A,1
CA_C0156,glu,1,A,1
CA_C0157,glu,1,A,0
CA_C0158,glu,1,A,244
CA_C0159,glu,1,A,25
CA_C0160,glu,1,A,88
CA_C0161,glu,1,A,14
CA_C0162,glu,1,A,294
CA_C0164,glu,1,A,19
CA_C0165,glu,1,A,35
CA_C0166,glu,1,A,18
CA_C0167,glu,1,A,53
CA_C0168,glu,1,A,127
CA_C0169,glu,1,A,2
CA_C0170,glu,1,A,1
CA_C0171,glu,1,A,7
CA_C0172,glu,1,A,9
CA_C0173,glu,1,A,16
CA_C0174,glu,1,A,52
CA_C0175,glu,1,A,5
CA_C0176,glu,1,A,6
CA_C0177,glu,1,A,22
CA_C0178,glu,1,A,34
CA_C0179,glu,1,A,25
CA_C0180,glu,1,A,24
