accession,sugar,rep,time,spectral_count
CA_C3568,gal_acid,1,A,17.3
CA_C3569,gal_acid,1,A,12.3
CA_C2711,gal_acid,1,A,74.3
CA_C1743,gal_acid,1,A,111.3
CA_C1747,gal_acid,1,A,0.3
CA_C2017,gal_acid,1,A,0.3
CA_C2262,gal_acid,1,A,0.3
CA_C2263,gal_acid,1,A,0.3
CA_C0887,gal_acid,1,A,0.3
CA_C3299,gal_acid,1,A,31.3
CA_C3298,gal_acid,1,A,43.3
CA_C0192,gal_acid,1,A,0.3
CA_P0064,gal_acid,1,A,0.3
CA_P0168,gal_acid,1,A,0.3
CA_C1091,gal_acid,1,A,16.3
CA_C0607,gal_acid,1,A,2.3
CA_C2275,gal_acid,1,A,4.3
CA_C1346,gal_acid,1,A,30.3
CA_C2390,gal_acid,1,A,3.3
CA_C2388,gal_acid,1,A,0.3
CA_C2074,gal_acid,1,A,0.3
CA_C0895,gal_acid,1,A,3.3
CA_C0894,gal_acid,1,A,7.3
CA_C0899,gal_acid,1,A,0.3
CA_C2867,gal_acid,1,A,63.3
CA_C2865,gal_acid,1,A,122.3
CA_C2868,gal_acid,1,A,0.3
CA_C2864,gal_acid,1,A,9.3
CA_C2869,gal_acid,1,A,38.3
CA_C2866,gal_acid,1,A,13.3
CA_C2870,gal_acid,1,A,9.3
CA_C3075,gal_acid,1,A,12.3
CA_C2645,gal_acid,1,A,0.3
CA_C2644,gal_acid,1,A,0.3
CA_C2704,gal_acid,1,A,41.3
CA_C2703,gal_acid,1,A,914.3
CA_C2222,gal_acid,1,A,7.3
CA_C3586,gal_acid,1,A,0.3
CA_C0959,gal_acid,1,A,2.3
CA_C2640,gal_acid,1,A,43.3
CA_C2639,gal_acid,1,A,54.3
CA_C1738,gal_acid,1,A,0.3
CA_C1099,gal_acid,1,A,4.3
CA_C1374,gal_acid,1,A,0.3
CA_C1372,gal_acid,1,A,0.3
CA_C1786,gal_acid,1,A,10.3
CA_C3233,gal_acid,1,A,0.3
CA_C2712,gal_acid,1,A,56.3
CA_C2209,gal_acid,1,A,0.3
CA_P0164,gal_acid,1,A,0.3
CA_C2378,gal_acid,1,A,0.3
CA_C2379,gal_acid,1,A,0.3
CA_C2624,gal_acid,1,A,4.3
CA_C2381,gal_acid,1,A,0.3
CA_C0025,gal_acid,1,A,3.3
CA_C2895,gal_acid,1,A,14.3
CA_C1722,gal_acid,1,A,12.3
CA_C2474,gal_acid,1,A,0.3
CA_C2065,gal_acid,1,A,0.3
CA_C1545,gal_acid,1,A,0.3
CA_C1711,gal_acid,1,A,10.3
CA_C3187,gal_acid,1,A,5.3
CA_C2125,gal_acid,1,A,0.3
CA_C0001,gal_acid,1,A,0.3
CA_C1283,gal_acid,1,A,7.3
CA_C1282,gal_acid,1,A,240.3
CA_C2673,gal_acid,1,A,5.3
CA_C0285,gal_acid,1,A,0.3
CA_C1425,gal_acid,1,A,8.3
CA_C1795,gal_acid,1,A,0.3
CA_C3101,gal_acid,1,A,4.3
CA_C3138,gal_acid,1,A,367.3
CA_C2094,gal_acid,1,A,68.3
CA_C1788,gal_acid,1,A,187.3
CA_C3136,gal_acid,1,A,932.3
CA_C2636,gal_acid,1,A,0.3
CA_C0713,gal_acid,1,A,25.3
CA_C1295,gal_acid,1,A,0.3
CA_C2709,gal_acid,1,A,39.3
CA_C2710,gal_acid,1,A,81.3
CA_C1572,gal_acid,1,A,3.3
CA_C3578,gal_acid,1,A,13.3
CA_C2163,gal_acid,1,A,0.3
CA_C1723,gal_acid,1,A,5.3
CA_C1027,gal_acid,1,A,21.3
CA_C3201,gal_acid,1,A,5.3
CA_C1812,gal_acid,1,A,0.3
CA_C0709,gal_acid,1,A,562.3
CA_C2680,gal_acid,1,A,71.3
CA_C2959,gal_acid,1,A,2.3
CA_C2670,gal_acid,1,A,16.3
CA_C2977,gal_acid,1,A,7.3
CA_C2669,gal_acid,1,A,22.3
CA_C2976,gal_acid,1,A,0.3
CA_C2671,gal_acid,1,A,8.3
CA_C2978,gal_acid,1,A,0.3
CA_C2239,gal_acid,1,A,4.3
CA_C2237,gal_acid,1,A,5.3
CA_C0484,gal_acid,1,A,27.3
CA_C0158,gal_acid,1,A,23.3
CA_C3222,gal_acid,1,A,25.3
CA_C1321,gal_acid,1,A,11.3
CA_C2264,gal_acid,1,A,12.3
CA_C0512,gal_acid,1,A,2.3
CA_C0712,gal_acid,1,A,19.3
CA_C1275,gal_acid,1,A,0.3
CA_C3198,gal_acid,1,A,23.3
CA_C1281,gal_acid,1,A,4.3
CA_C0099,gal_acid,1,A,0.3
CA_C2700,gal_acid,1,A,18.3
CA_C0007,gal_acid,1,A,19.3
CA_C0006,gal_acid,1,A,17.3
CA_C2708,gal_acid,1,A,22.3
CA_C2750,gal_acid,1,A,0.3
CA_C1834,gal_acid,1,A,11.3
CA_C0939,gal_acid,1,A,0.3
CA_C0937,gal_acid,1,A,0.3
CA_C1089,gal_acid,1,A,0.3
CA_C2370,gal_acid,1,A,4.3
CA_C3315,gal_acid,1,A,53.3
CA_C3109,gal_acid,1,A,0.3
CA_C1802,gal_acid,1,A,90.3
CA_C2361,gal_acid,1,A,63.3
CA_C0091,gal_acid,1,A,8.3
CA_C3170,gal_acid,1,A,0.3
CA_C3184,gal_acid,1,A,0.3
CA_C2902,gal_acid,1,A,0.3
CA_C1797,gal_acid,1,A,0.3
CA_C1847,gal_acid,1,A,30.3
CA_C3112,gal_acid,1,A,33.3
CA_C1848,gal_acid,1,A,0.3
CA_C3682,gal_acid,1,A,0.3
CA_C3221,gal_acid,1,A,23.3
CA_C0518,gal_acid,1,A,175.3
CA_C2954,gal_acid,1,A,180.3
CA_C2953,gal_acid,1,A,55.3
CA_C2963,gal_acid,1,A,51.3
CA_C0267,gal_acid,1,A,0.3
CA_C3552,gal_acid,1,A,5.3
CA_C1278,gal_acid,1,A,8.3
CA_C3171,gal_acid,1,A,0.3
CA_C3173,gal_acid,1,A,0.3
CA_C1832,gal_acid,1,A,0.3
CA_C2637,gal_acid,1,A,5.3
CA_C2942,gal_acid,1,A,6.3
CA_C0554,gal_acid,1,A,3.3
CA_C0533,gal_acid,1,A,0.3
CA_C3111,gal_acid,1,A,19.3
CA_C2800,gal_acid,1,A,0.3
CA_C3190,gal_acid,1,A,0.3
CA_C1825,gal_acid,1,A,0.3
CA_C2856,gal_acid,1,A,30.3
CA_C0984,gal_acid,1,A,0.3
CA_C1604,gal_acid,1,A,0.3
CA_C1835,gal_acid,1,A,0.3
CA_C1838,gal_acid,1,A,0.3
CA_C2233,gal_acid,1,A,0.3
CA_C3734,gal_acid,1,A,0.3
CA_C3733,gal_acid,1,A,0.3
CA_P0063,gal_acid,1,A,0.3
CA_C1992,gal_acid,1,A,0.3
CA_C0157,gal_acid,1,A,0.3
CA_C3539,gal_acid,1,A,19.3
CA_C3225,gal_acid,1,A,4.3
CA_C3194,gal_acid,1,A,4.3
CA_C2129,gal_acid,1,A,4.3
CA_C3250,gal_acid,1,A,0.3
CA_C0183,gal_acid,1,A,0.3
CA_C0175,gal_acid,1,A,0.3
CA_C1837,gal_acid,1,A,0.3
CA_C2340,gal_acid,1,A,0.3
CA_C1024,gal_acid,1,A,0.3
CA_C0187,gal_acid,1,A,0.3
CA_C3229,gal_acid,1,A,0.3
CA_C0284,gal_acid,1,A,3.3
CA_C2448,gal_acid,1,A,0.3
CA_C1260,gal_acid,1,A,0.3
CA_C3426,gal_acid,1,A,11.3
CA_C2301,gal_acid,1,A,2.3
CA_C2195,gal_acid,1,A,0.3
CA_C0595,gal_acid,1,A,0.3
CA_C0476,gal_acid,1,A,23.3
CA_C2634,gal_acid,1,A,0.3
CA_C0517,gal_acid,1,A,29.3
CA_C0710,gal_acid,1,A,255.3
CA_C1728,gal_acid,1,A,9.3
CA_C1746,gal_acid,1,A,0.3
CA_C2500,gal_acid,1,A,0.3
CA_C1808,gal_acid,1,A,20.3
CA_C1699,gal_acid,1,A,0.3
CA_C0840,gal_acid,1,A,0.3
CA_C2138,gal_acid,1,A,40.3
CA_C1284,gal_acid,1,A,0.3
CA_C3254,gal_acid,1,A,9.3
CA_C3253,gal_acid,1,A,0.3
CA_C3215,gal_acid,1,A,34.3
CA_C1742,gal_acid,1,A,89.3
CA_C3076,gal_acid,1,A,26.3
CA_C0154,gal_acid,1,A,0.3
CA_C1396,gal_acid,1,A,0.3
CA_C1393,gal_acid,1,A,0.3
CA_C1391,gal_acid,1,A,0.3
CA_C1395,gal_acid,1,A,0.3
CA_C3593,gal_acid,1,A,5.3
CA_C2654,gal_acid,1,A,0.3
CA_C0519,gal_acid,1,A,0.3
CA_C0027,gal_acid,1,A,3.3
CA_C2652,gal_acid,1,A,0.3
CA_C2892,gal_acid,1,A,39.3
CA_C1789,gal_acid,1,A,30.3
CA_C2653,gal_acid,1,A,0.3
CA_C2651,gal_acid,1,A,0.3
CA_C2113,gal_acid,1,A,0.3
CA_C2203,gal_acid,1,A,748.3
CA_C1285,gal_acid,1,A,0.3
CA_C0422,gal_acid,1,A,0.3
CA_C0028,gal_acid,1,A,38.3
CA_P0145,gal_acid,1,A,0.3
CA_P0078,gal_acid,1,A,3.3
CA_P0035,gal_acid,1,A,2.3
CA_C0910,gal_acid,1,A,0.3
CA_C0537,gal_acid,1,A,0.3
