start,end,name,dna
467,1807,CA_C0001,Genome
2064,3164,CA_C0002,Genome
3195,3401,CA_C0003,Genome
3447,4538,CA_C0004,Genome
4558,4821,CA_C0005,Genome
4844,6757,CA_C0006,Genome
6783,9275,CA_C0007,Genome
14735,15211,CA_C0008,Genome
15285,15800,CA_C0009,Genome
15826,18546,CA_C0010,Genome
18653,19513,CA_C0011,Genome
19543,20946,CA_C0012,Genome
20956,21186,CA_C0013,Genome
21619,22689,CA_C0014,Genome
22715,23632,CA_C0015,Genome
23709,24953,CA_C0016,Genome
24976,26253,CA_C0017,Genome
26363,26965,CA_C0018,Genome
27017,27622,CA_C0019,Genome
27787,30426,CA_C0020,Genome
30670,31944,CA_C0021,Genome
32013,33095,CA_C0022,Genome
33214,34113,CA_C0023,Genome
34540,35910,CA_C0024,Genome
36200,36721,CA_C0025,Genome
36743,37357,CA_C0026,Genome
37376,38050,CA_C0027,Genome
38101,39849,CA_C0028,Genome
40092,40793,CA_C0029,Genome
40771,41832,CA_C0030,Genome
41890,42774,CA_C0031,Genome
42932,43501,CA_C0032,Genome
43538,45136,CA_C0033,Genome
45291,45596,CA_C0034,Genome
46266,47078,CA_C0035,Genome
47106,48512,CA_C0036,Genome
48546,49631,CA_C0037,Genome
49650,49895,CA_C0038,Genome
49939,54573,CA_C0039,Genome
54723,55016,CA_C0040,Genome
55224,55634,CA_C0041,Genome
55665,56909,CA_C0042,Genome
56937,57458,CA_C0043,Genome
57468,57743,CA_C0044,Genome
57977,59311,CA_C0045,Genome
59337,59663,CA_C0046,Genome
59688,59999,CA_C0047,Genome
60030,60566,CA_C0048,Genome
60592,61167,CA_C0049,Genome
61342,61665,CA_C0050,Genome
61662,61862,CA_C0051,Genome
62070,62531,CA_C0052,Genome
62623,63048,CA_C0053,Genome
63793,64383,CA_C0055,Genome
64672,65124,CA_C0056,Genome
65121,66002,CA_C0057,Genome
66024,66356,CA_C0058,Genome
66377,66649,CA_C0059,Genome
66803,67411,CA_C0060,Genome
67475,69958,CA_C0061,Genome
69961,70656,CA_C0062,Genome
70657,75594,CA_C0063,Genome
75609,75875,CA_C0064,Genome
76018,76398,CA_C0065,Genome
76521,77294,CA_C0066,Genome
77298,77996,CA_C0067,Genome
78012,79211,CA_C0068,Genome
79405,79794,CA_C0069,Genome
79854,80822,CA_C0070,Genome
81020,81739,CA_C0071,Genome
81787,82020,CA_C0072,Genome
82288,83100,CA_C0073,Genome
84396,84743,CA_C0075,Genome
84877,85788,CA_C0076,Genome
85766,86497,CA_C0077,Genome
86728,87357,CA_C0078,Genome
87326,87490,CA_C0079,Genome
87617,88960,CA_C0080,Genome
88953,89678,CA_C0081,Genome
89767,91827,CA_C0082,Genome
92169,92768,CA_C0083,Genome
93048,93524,CA_C0084,Genome
93588,93767,CA_C0085,Genome
93773,94852,CA_C0086,Genome
94954,95832,CA_C0087,Genome
95918,96406,CA_C0088,Genome
96440,97396,CA_C0089,Genome
97839,98720,CA_C0090,Genome
99393,100406,CA_C0091,Genome
100675,101133,CA_C0092,Genome
101128,102000,CA_C0093,Genome
102143,103693,CA_C0094,Genome
103870,105060,CA_C0095,Genome
105024,105671,CA_C0096,Genome
105680,106555,CA_C0097,Genome
106555,108027,CA_C0098,Genome
108017,109285,CA_C0099,Genome
109303,110265,CA_C0100,Genome
110750,112144,CA_C0101,Genome
